timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-05-03T13:01:44.659882+07:00,Hà Nội,137,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,61%
2025-05-03T14:01:38.782697+07:00,Hà Nội,142,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,61%
2025-05-03T15:01:34.767301+07:00,Hà Nội,132,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,6.4 km/h,62%
2025-05-03T16:01:27.811642+07:00,Hà Nội,112,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.7 km/h,62%
2025-05-03T17:01:31.123320+07:00,Hà Nội,99,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.7 km/h,62%
2025-05-03T18:01:27.887047+07:00,Hà Nội,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.0 km/h,66%
2025-05-03T19:01:53.631397+07:00,Hà Nội,86,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,18.3 km/h,78%
2025-05-03T20:06:34.213550+07:00,Hà Nội,95,/dl/web/weather/ic-w-12-night-rain-full.svg,18.2 km/h,81%
2025-05-03T21:01:36.425429+07:00,Hà Nội,92,/dl/web/weather/ic-w-12-night-rain-full.svg,18.2 km/h,81%
2025-05-03T22:01:31.570404+07:00,Hà Nội,88,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,17.4 km/h,85%
2025-05-03T23:01:34.578250+07:00,Hà Nội,88,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,17.1 km/h,88%
2025-05-04T00:01:28.445244+07:00,Hà Nội,92,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,16.7 km/h,89%
2025-05-04T01:01:43.846176+07:00,Hà Nội,88,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,14.3 km/h,93%
2025-05-04T02:01:37.002053+07:00,Hà Nội,87,/dl/web/weather/ic-w-11-night-few-clouds-full.svg,14.3 km/h,93%
2025-05-04T03:01:31.466752+07:00,Hà Nội,89,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.4 km/h,93%
2025-05-04T04:01:27.512371+07:00,Hà Nội,89,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,95%
2025-05-04T05:01:29.387110+07:00,Hà Nội,92,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,95%
2025-05-04T06:01:35.902630+07:00,Hà Nội,96,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,8.5 km/h,95%
2025-05-04T07:05:21.860559+07:00,Hà Nội,101,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,11.4 km/h,89%
2025-05-04T08:29:25.626251+07:00,Hà Nội,106,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.9 km/h,82%
2025-05-04T09:32:40.841296+07:00,Hà Nội,116,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,12.4 km/h,80%
2025-05-04T10:21:30.372354+07:00,Hà Nội,128,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,10.3 km/h,76%
